IP:PORT, LOSS, DELAY
188.114.99.50:2506,0.00%,278 ms
188.114.97.142:1070,0.00%,278 ms
188.114.98.230:3476,0.00%,278 ms
188.114.97.194:878,0.00%,278 ms
188.114.96.78:4233,0.00%,278 ms
188.114.97.167:4233,0.00%,278 ms
188.114.97.46:934,0.00%,278 ms
188.114.96.199:890,0.00%,278 ms
188.114.97.116:864,0.00%,278 ms
188.114.98.26:955,0.00%,278 ms
188.114.96.135:1010,0.00%,278 ms
162.159.192.167:4177,0.00%,278 ms
162.159.192.106:1070,0.00%,278 ms
188.114.97.129:943,0.00%,278 ms
188.114.97.28:1014,0.00%,278 ms
162.159.192.199:500,0.00%,278 ms
162.159.195.1:7156,0.00%,278 ms
188.114.96.192:946,0.00%,278 ms
188.114.98.157:8742,0.00%,278 ms
188.114.99.212:1387,0.00%,278 ms
188.114.98.96:3854,0.00%,278 ms
188.114.98.236:890,0.00%,278 ms
188.114.99.100:942,0.00%,278 ms
188.114.99.231:1074,0.00%,278 ms
188.114.96.26:8319,0.00%,278 ms
188.114.99.38:968,0.00%,278 ms
188.114.96.29:8319,0.00%,278 ms
188.114.96.52:7559,0.00%,278 ms
188.114.96.74:946,0.00%,278 ms
162.159.195.20:3581,0.00%,278 ms
188.114.98.31:7559,0.00%,278 ms
162.159.195.254:942,0.00%,278 ms
162.159.192.193:934,0.00%,278 ms
188.114.97.155:4233,0.00%,278 ms
188.114.97.191:878,0.00%,278 ms
162.159.195.157:8742,0.00%,278 ms
188.114.96.241:934,0.00%,278 ms
188.114.98.244:890,0.00%,279 ms
162.159.192.86:7103,0.00%,279 ms
188.114.98.150:859,0.00%,279 ms
162.159.192.108:8742,0.00%,279 ms
188.114.97.113:4233,0.00%,279 ms
188.114.99.115:859,0.00%,279 ms
162.159.192.57:7281,0.00%,279 ms
188.114.98.78:946,0.00%,279 ms
162.159.192.120:988,0.00%,279 ms
188.114.96.234:934,0.00%,279 ms
